喂喂你叫沈明明。让我报文我姓张。我姓泽泽二十二。好都在哪里呀。 喂喂你叫什么名。王保文啊你是我姓曾。我姓曾嗯是啊。啊住在哪里呀。
就是他们自己努力嘛。那中国能发展吗。君主啊。我不知道君主算不算一代君主。 都是他们自己留着花。那中国能发展吗。君主啊。我不知道慈禧算不算一代君主。
但是我比较讨厌她一个女流之辈居然拿着一个国家开玩笑那让她吗。特别讨厌。你认为呢。你说一个你说女人掌握这么大国家那肯定没有希望。 但是我比较讨厌她一个女流之辈居然拿着一个国家开玩笑那那那。特别讨厌。你认为呢。你说一个女人掌握这么大国家那肯定没有希望。
虽然那个武则天她也是一代女皇嘛。但是虽然她也也是个女流之辈。但她统统治国家还可以不逊色比的那个男君主。但慈禧她妈的就是垃圾。 虽然那个武则天她也是一代女皇嘛。她是虽然她也是一个女流之辈。但是她统统治国家还可以不逊色别的那个男君主。但是慈禧他妈的就是垃圾。
我最看不惯一个女流这边一些这些国家。不知道现在这时代的妇女或者怎么样现在反正我是不太喜欢。应该去改变一下但是还是有些不太放心。毕竟那是一个国家不是个家庭一 我就我最看不惯一个女流之辈统治一个国家。不知道现在这时代的呃妇女会怎么怎么样现在反正我是不太喜欢。呃应该去改变一下但是还是有些不太放心。毕竟他是一个国家不是
他是因为国家要是让女人管得完呗吵有点也说不过去。但是现在逐渐的女生不是妇女的主流还挺大的现在。女人就是一句话头发长见识短。呃女人剪了头发也不一定能建设社会 它是一个国家要是让女人管的话那有点说不过去。但是现在逐渐的女女生做妇女的主流还挺大的现在。女人就是一句话头发长见识短。女人剪了头发也不一定能见识长。
但不是每个女人都是那么聪明。你看看没有天马双鱼啊。天马装军那个里面那个女主人公那样的女人头脑多已经多机灵了。当然特别聪明要是真的有那样女人要是同一个国家的 但不是每个每个女人都是那么见识见识短的啊。你看过没天马双鹰呀。天马双鹰那个那里边那个女女主公那样的女人头脑多灵多机灵啊。头脑特别聪明要是真的有那样的女人要是
那是现在总体来说还还不到那种程度。那毕竟是个武侠小说嘛。嗯对那那是一个说法。但是毕竟他们俩他跟秦始皇不是一年代的嘛。 但是现在总体来说还还不到那种程度。那毕竟是一个武侠小说嘛。呃对那那也是一个说法。但是毕竟他们俩他跟秦始皇不是一个年代的吗。
呃秦始皇的功劳是把一个分人类的几个君主国给全都给统一起来的。然后康熙的攻击是。怎么说呢。对比较落后的一个大国家他改建就是把他发展起来。 呃秦始皇的功劳是把一个分裂的几个君主国给全都给统一起来了。然后康熙的功绩是。怎么说呢。对比较落后的一个大国家他改建就是把它发展起来。
就是有一定的发展了中国呢。喂你好请问您贵姓。真巧我也姓朱。嗯真巧啊我叫朱蓓蓓。 就是有一定的发展了中国那时候。喂你好请问您贵姓。嗯真巧我也姓朱。啊真巧我叫朱贝贝。
多巧呀是的呀。现在我们要不要聊一聊我们的话题呢。是的我对时光隧道真的很感兴趣因为我看过了好多像这方面的书籍。呃比如说卫斯里的科科幻小说我比较我比比较那个欣 是的呀。呃现在我们要不要聊一聊我们的话题呢。是的我对时光隧道真的很感兴趣因为我看过了好多呃像这方面的书籍。呃比如说卫斯理的科科幻小说我比较喜我比较喜那个欣赏
对对妈妈的是啊。嗯对。我认为有可能因为这个人的智力你很难能够完全明白这个世界的奥秘。我觉得一个人他智力是有限的他不能够能完全理解这个存在的这些奥秘嘛。 对对是啊。嗯对。我认为呃有可能因为这个人的智力呀你很难能够呃完全明白这个世界的奥秘。我觉得一个人的智力是有限的他不能够完全理解这个存在的这些奥秘。
比如说什么第四维空间什么人的第六感第七感等等。嗯我大愿是吧。我想问你一个问题如果你有那么一个机会让你回到从前重新做一件事情你想你最想做什么事呢。现在呢现在 比如说什么第四维空间呀什么人的第六感第七感等等。嗯我但愿是吧。呃我想问你一个问题哈如果你有那么一个机会让你回到从前重新做一件事情你想你最想做什么事呢。现在现
为什么呢。其实其实我也是如果我回到从前的话我肯定回到学生时代去好好学习但是。因为您讲过了这是我们大家共同的一个心愿我现在有另外一个小小的心愿。如果让我回回 为什么呢。其实我其实我也是如果我回到从前的话我肯定回到学生时代去好好学习但是呃。因因因因为您讲过了这是我们大家共同的一个心愿我现在呢有另外一个小小的心愿。如
我觉得在我奶奶临去世前的几个月里我对她非常的不好我感到非常内疚。在我爷奶死去的那一刻我真的感到呃非常那个内疚我感觉老天都不会原谅我的罪过。是啊我能够了解你 我觉得在我奶奶临去世前的几个月里我对她非常的不好我感到非常的内疚。在我奶奶死去的那一刻我真的感到非常内疚我感觉老天都不会都不会原谅我的罪过。是呀呃我能够了解
因为我家人怎么讲呢对我奶奶都比较的应该说没有尽到对老人的那种义务。应该是义务听到了但是从内心内心深处那个感情上我感觉不是很够。所以如果让我再重新回到从前的 因为我家人怎么讲呢对我奶奶都比较的应该说没有尽到对老人的那种义务。应该说是义务尽到了但是从内心感内心深处那个感情上我感觉不是很够。所以如果让我再重新回到从前
我没有结婚呀。为什么呢。我感觉现在中国像这种家庭也是非常的多但是中国有个传统观念如果离婚了就会给家庭给自己都是造成一个不好的影响。这种情况如果在国外的话就 我没有结婚啊。为什么呢。我感觉现在中国像这种家庭也是非常的多但是中国有个传统观念如果离婚了就会给家庭呀给自己呀都是造成一个不好的影响。这个这种情况如果在国外
他们很有那个权力去选择自己的幸福。我想在中国现在这个社会现在当代这社会也有权利去选选择这个幸福啊。其实我感觉啊我感感觉你跟你老公之间其实也应该多沟通一下。 他们还有很有那个权利去选择自己的幸福。我想在中国现在这个社会现当当代这个社会也有权利去选择自己的幸福。其实我感觉我感觉呀你跟你老公之间呀其实也应该多沟通一下
我认为其实怎么讲呢相互多体谅一下还是好一点。如果你看人都这样说牵手不容易分手更难对不对。这是一种必然嘛。对如果两个人在一起两个个人再一起没有话说的时候。 我认我认为呀其实怎么讲呢相互多体谅一下还是好一点。如果你看人都人都这样说啊牵手不容易分手更难对不对。是一种必然吗。对如果两个人在一起两个人在一起没有话说的时
也没有什么意思了生活就像一杯白开水一样淡而无味。对整天半天面对一个就像木头人一样。其实但他又的的确确是一个活生生的人又是你的伴侣如果两个人不说话我想那个气 唉也没有什么意思了生活就像一杯白开水一样淡而无味。对整天面面对一个就像木头人一样。其实但他又却的的确确是一个活生生的人又是你的伴侣如果两人不说话我想那个气氛
呃我能理解你现在的心情因为我们现在聊天的题目是时光隧道我能不能再问你一个问题呢。你觉得时光呃隧道可怕吗。如果我面前如果真的出现一道时间隧道的话我肯定会犹豫 我能理解你现在的心情呃因为我们现在聊天的题目是时光隧道我能不能再问你一个问题呢。呃你觉得时光隧道可怕吗。如果是我面前如果真的出现一道时光隧道的话我肯定会犹豫
如果我进去了万一要通到宇宙成了一个宇宙垃圾怎么办呀。宇宙的垃圾可以永恒你想在那无那无穷尽的宇宙中就我一个人飘来荡去的那跟孤魂有什么区别。就好像跟你说的在你 如果我进去了万一要通到宇宙成了一个宇宙垃圾怎么办呀。宇宙垃圾可以永恒你想在那计那无穷尽的宇宙中就我一个人飘来荡去的那跟孤魂有什么区别。就好像跟你说的在你家庭
嗯时光隧道里游的确是很诱人的。呃希望呢这门科学早点解决这个问题。我真想到时光旅道里面去转一转我记得以前曾经看过一本漫画叫做叮当小叮当机器猫看过没有。里面有 嗯时光隧道有的确是很诱人的唔。呃希望呢这门科学早点解决这个问题。我真想到时光隧道里面去转一转我记得以前曾经看过一一本漫画叫做叮当小叮当机器猫看过没有。里面有
它就相当于时光隧道能回到你想去的朝代对不对我想你也看过吧。嗯对一个时光机我们以前有个电脑游戏叫做大富翁大钱翁寺里面有一种叫做时光计知道吧。对那种时光就可以 它就相当于时光隧道能回到你想去的朝代对不对你我想你也看过吧。对一个一个时光机呃我们以前有个电脑游戏叫做大富翁大富翁四里面有一种叫做时光机知道吧。对那种时光机
